"DISCHARGE","PAT_COUNTY","hospitalizations","COUNTY_NAME"
"2019Q1","485",10,"Wichita County"
"2019Q1","487",1,"Wilbarger County"
"2019Q1","489",3,"Willacy County"
"2019Q1","491",34,"Williamson County"
"2019Q1","493",4,"Wilson County"
"2019Q1","495",1,"Winkler County"
"2019Q1","497",2,"Wise County"
"2019Q1","499",3,"Wood County"
"2019Q1","501",1,"Yoakum County"
"2019Q1","503",5,"Young County"
"2019Q1","505",1,"Zapata County"
"2019Q1","507",2,"Zavala County"
